id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
2641,-12.05909091,18.8515873,-9.847619048,18.91547619,48.27,-101.28,522
2643,-7.517424242,16.48095238,-6.033333333,16.90666667,45.78,-111.15,1362
2644,-7.828787879,14.64924242,-6.966666667,15.38928571,45.95,-112.5,1688
2645,-4.487148594,17.7350211,-3.028205128,18.42133333,46.92,-114.08,972
2646,-8.972592593,18.4612963,-6.373333333,18.87962963,48.6,-109.7,788
2647,0.285507246,20.47272727,1.492666667,21.4826087,46.57,-120.53,325
2650,5.294202899,17.79090909,6.222,18.5,47.6,-122.33,6
2651,-3.403030303,12.14242424,-2.683333333,12.26296296,47.28,-121.33,1209
2652,4.925,14.825,6.009333333,15.10869565,47.95,-124.55,62
2653,4.416666667,13.96041667,5.303030303,14.49848485,48.35,-122.67,10
2654,2.989166667,15.45438596,4.064814815,15.4962963,48.8,-122.53,45
2655,-9.686111111,20.65166667,-7.84047619,21.06666667,44.55,-95.08,312
2656,-7.723809524,16.59285714,-7.170238095,17.18809524,45.57,-84.78,218
2657,-5.945238095,18.84871795,-5.546428571,19.08452381,44,-76.02,96
2658,-8.412698413,18.63333333,-7.858333333,19.06904762,44.93,-74.85,65
2659,-4.718518519,18.55925926,-4.507575758,19.42727273,43.88,-69.93,24
2660,-5.218181818,18.905,-5.574358974,19.37916667,44.32,-69.8,106
2662,-3.274509804,19.72708333,-2.711904762,19.76547619,42.27,-71.87,301
2663,-0.925,21.79803922,-0.393333333,22.11666667,42.15,-70.93,48
2664,11.46466667,18.13680556,12.11666667,18.48333333,37.73,-122.32,5
2665,10.99251701,15.11972789,11.30595238,15.88571429,37.77,-122.43,22
2667,0.498333333,26.32,0.998484848,26.27666667,38.8,-97.65,384
2668,-0.840350877,25.05583333,0.307575758,25.23333333,38.87,-98.82,568
2669,-1.987179487,23.19230769,-1.16547619,23.19642857,39.93,-91.2,232
2670,2.447619048,22.85384615,2.713095238,23.05119048,38.33,-75.52,14
2671,9.995454545,16.74,11.02,17.31,34.43,-119.83,2
2672,9.227272727,29.1515873,10.26547619,30.37051282,34.87,-116.78,585
2673,2.602380952,26.47619048,2.794444444,25.51111111,36.3,-99.77,667
2675,4.94047619,27.42380952,6.753030303,26.71,34.88,-95.78,231
